Visual Basic,HCL,Makefile,FreeMarker,Java,repos,Rust,GCC Machine Description,Lua,CMake,stars,Puppet,Haskell,C#,Assembly,Swift,Scala,Smali,Vue,PHP,HTML,Shell,Dockerfile,Emacs Lisp,login,CoffeeScript,Scheme,Apex,Perl,PigLatin,OCaml,followers,Mathematica,Batchfile,Groovy,C,Objective-C,Prolog,Kotlin,Python,TypeScript,PowerShell,Verilog,PLpgSQL,ASP,TeX,Elixir,Ruby,Jupyter Notebook,Eiffel,Arduino,contributions,Vim script,Gherkin,Vala,C++,MATLAB,ActionScript,Processing,MQL4,R,XSLT,Yacc,NewLisp,PLSQL,JavaScript,Crystal,CSS,GDScript,Julia,AutoHotkey,Go,following,Dart,PostScript,Matlab,ColdFusion,AGS Script,VHDL,Clojure
,,,,3,4,,,,,0,,,,,,,,,,,,,,egriesi,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,,,,,,,
,,,,1,1,,,,,0,,,,,,,,,,,,,,ChantelBoor,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,2,,,,,0,,,,,,,,,,,,,,diteNW,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,,,
,,,,4,18,,,,,13,,,,,,,,,,3,,,,SebasPelaez,,,,,,,31,,,,,,,,1,,,,,,,,,5,,,,,,,,,,,,1,,,,,4,,,,,,,15,,,,,,,
,,,,,5,,,,,0,,,,,,,,,,,,,,floydawg,,,,,,,0,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,13,,,,,0,,,,,,,,,,4,,,,CRISLIVASI,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,0,,,,,,,
,,,,,1,,,,,0,,,,,,,,,,,,,,jeernest,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,5,,,,,0,,,1,,,,,,,,,,,nikolaypoh,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,3,,,,,,,
,,,,,4,,,,,0,,,,,,,,,,,,,,il1b,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,10,,,,,1,,,,,,,,,3,,,,,facemdur,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
,,,,,1,,,,,0,,,,,,,,,,,,,,Chan9001,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,7,,,,,0,,,2,,,,,,,1,,,,DominykG,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,
,,,,,1,,,,,0,,,,,,,,,,,,,,jlodewyck,,,,,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,14,,,,,1,,,,,,1,,,,1,1,,,SKutukov,,,,,,,2,,,,1,,,,4,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,2,,,,,,,
,,,,,2,2,,,,0,,,,,,,,,,,,,,mrbus,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,,,,1,,,,,0,,,,,,,,,,,,,,Shattered3trnl,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,6,6,,,,,1,,,,,,,,,,,,,,deepankar-sharma-01,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
1,,,,,38,,,,,29,,,,,,,,,,,3,,,vinamarora8,,2,,,,,47,,,,5,,,,6,,,7,,,,,,,,1,,,,,6,,,,,,,,1,,,,,,,,,18,,,1,,,,
,,,,1,11,,,,,1,,,,,,,,,,1,,,,matheusmeira,,,,,,,14,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,1,,,,,14,,,,,1,,
,,,,,1,,,,,0,,,,,,,,,,,,,,chambito,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,,,
,,,,,1,,,,,0,,,,,,,,,,,,,,astralboy1994,,,,,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,1,,,,,0,,,,,,,,,,,,,,jacksgituk,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,9,,,,,,,
,,,,,1,,,,,0,,,,,,,,,,,,,,mxdot,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,12,,,,,0,,,,,,,,,,5,,,,balboawendy,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,0,,,,,,,
,,,,,1,,,,,0,,,,,,,,,,1,,,,GATMAR,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,1,3,,,,,0,,,1,,,,,,,1,,,,SelvaDheepak,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
1,,,,,11,,,,,1,,,1,,,,,,,1,,,,OthnielDona,,,,,,,1,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,1,,,,,0,,,,,,,,,,,,,,antoniovelasquez8,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,2,,,,,0,,,,,,,,,,,,,,philofred,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,1,,,,,0,,,,,,,,,,,,,,colibri-pro,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,2,,,,,0,,,,,,,,,,1,,,,deltronicsperu,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,,,,,,,
,,,,4,8,,,,,1,,,,,,,,,,,,,,JWhitney406,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,,,
,,,,,2,,,,,0,,,,,,,,,,,,,,shajisreedharan,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,1,,,,,1,,,,,,,,,,,,,,ljmumakersoc,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,1,,,,,0,,,,,,,,,,,,,,MCansoy,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,5,,,,,0,,,,,1,,,,,1,,,,leomancillasmtz,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,
,,,,1,8,,,,,1,,,,,,,,,,3,,,,gerardoemr,,,,,,,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,
,,,,,1,,,,,0,,,,,,,,,,,,,,gsraja,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,1,,,,,0,,,,,,,,,1,,,,,manishshrd,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,3,,,,,0,,,,,,,,,,,,,,GF-Cris,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,
,,,,2,2,,,,,0,,,,,,,,,,,,,,mcjowan,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,,,,1,,,,,0,,,,,,,,,,,,,,DaSmoo,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,2,,,,,0,,,,,,,,,,,,,,temmmi,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,2,,,,,0,,,,,,,,,,1,,,,Starlordx,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,7,,,,,0,,,,,,,,,1,,,,,webbimasa,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,0,,,,,,,
,,,,,6,,,,,0,,,,,,2,,,,1,,,,Ezio2,,,,,,,0,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,
,,,,,1,,,,,0,,,,,,,,,,,,,,ursaaoi,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,3,36,,,,,11,,,,1,,,,,1,1,,,,saisrivathsa,,,,,,,32,,,,1,,,,8,,,2,,,1,,,4,,,,,,,,,,,,,,,,,3,,2,,,,,48,,,2,,,,
,,,,,1,,,,,0,,,,,,,,,,,,,,katytaly,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,15,,,,,0,,,,,,,,,,,1,,,jaehyunbae,,,,,,,0,,,,3,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,0,,,,,,,
,,,,3,6,,,,,0,,,,,,,,,,,,,,willweinstein,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,,,,,,,
,,,,,1,,,,,0,,,,,,,,,,,,,,Goblinat0r,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,1,,,,,0,,,,,,,,,,,,,,dlensing,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,8,,,,,0,,,,,,,,,,,,,,ruif,,,,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,12,,,,,,,
,,,,,13,,,,,6,,,,,,,,,,,,,,samuelefiorini,,,,,,,4,,,,,,,,10,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
,,,,,2,,,,,0,,,,,,,,,,,,,,Konstup,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,,,,,,,
,,,,,5,,,,,0,,,,,,,,,,,,,,jaredjc51,,,,,,,1,,,,,,,,3,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,
,,,,1,2,,,,,0,,,,,,,,,,,,,,kjeka91,,,,,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,5,,,,,0,,,,,,,,,,,,,,jaredjc51,,,,,,,1,,,,,,,,3,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,
,,,,1,2,,,,,0,,,,,,,,,,,,,,kjeka91,,,,,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,1,,,,,0,,,,,,,,,,,,,,FluidKyle,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,
,,,,,1,,,,,0,,,,,,,,,,1,,,,VPBVPB,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,6,,,,,7,,,,,,,,,,,,,,bozso,,,,,,,10,,,,,,,,1,,,,,,1,,,2,,,,,,,,1,,,,,,,,,,,,,,,,39,,,1,,,,
,,,,3,8,,,,,1,,,,,,,,,,,,,,amruth94bruce,,,,,,,0,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,0,,,,,,,
,,,,,2,,,,,0,,,,,,,,,1,,,,,CarlosGiordano,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,,,7,7,,,,,0,,,,,,,,,,,,,,Katrock,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,5,,,,,0,,,,,,,,,,1,,,,yasoshima,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,,,
,,,,,4,,,,,1,,,,,,,,,,1,,,,rz96,,,,,,1,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,1,,,,,2,,,,,,,,,,,,,,Indyresjoel,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,
,,,,,1,,,,,0,,,,,,,,,,,,,,dmendezmiguez,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,17,22,,,,,0,,,,,,,,,,1,,,,Xannosz,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,,,,,,,
,,,,,2,,,,,0,,,,,,,,,,,,,,kaitlintest113,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,4,,,,,0,,,,,,,,,,,,,,alanansilva,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,0,,,,,,,
,,,,1,22,,,,,0,,,,,,,,,,,3,,,Wowip,,,,,,,6,,,,,,,,7,,,,,,2,,,,,,,,,,,,,,,2,,,,,1,,,,,,1,8,,,,,,,
,,,,2,6,,,,,0,,,,,,,,,,,,,,jazztong,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,1,,,,,,,
,,,,1,3,,,,,0,,,,,,,,,,1,,,,akhilkd,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,
,,,,,1,,,,,0,,,,,,,,,,,,,,Aranudk,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,2,,,,,0,,,,,,,,,,1,,,,spikey979,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,
,,,,,1,,,,,0,,,,,,,,,,,1,,,shaman19,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,1,,,,,0,,,,,,,,,1,,,,,charlymx515,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,1,,,,,0,,,,,,,,,,,,,,NonIdentifie,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,4,,,,,0,,,,,,,,,,,,,,steveo3221,,,,,,,0,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,12,,,,,6,,,,,,,,3,,2,,,,geocollections,,,,,,,0,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,0,,,,,,,
,,,,,7,,,,,18,,,,,,,,,6,,,,,Jobinja,,,,,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,8,,,,,0,,,7,,,,,,,,,,,kcdodaro,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,8,,,,,4,,,,,,,,,,,1,,,epiSurg,,,,,,,10,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,4,,,,
,,,,,3,,,,,0,,,,,,,,,,,,,,regupathit,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,0,,,,,,,
,,,,1,4,,,,,0,,,2,,,,,,,,,,,JBraze,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,
,,,,,1,,,,,0,,,,,,,,,,,,,,nandinilashkar,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,2,,,,,0,,,,,,,,,,,,,,ctrlshft,,,,,,,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,
,,,,,1,,,,,0,,,,,,,,,,,,,,justcejai,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,,,
,,,,,5,,,,,0,,,,,,,,,,,,,,ipadwo,,,,,,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,16,,,,,4,,,,,,,,2,2,,,,,AndreKelling,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,2,,,,,0,,,,,,,
,,,,,1,,,,,0,,,,,,,,,,,,,,vldmsn,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,1,,4,7,,,,,0,,,,,,,,,,,,,,Omniherna,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,1,,,,,0,,,,,,,,,,1,,,,CFTindia,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,1,,,,,0,,,,,,,,,,,,,,mightyjakethedog,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,1,,,,,0,,,,,,,,,,,,,,mightyjakethedog,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,1,5,,,,,0,,,3,,,,,,,,,,,lucasrmunoz,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,4,,,,,,,
,,,,,3,,,,,0,,,,,,,,,1,1,,,,vijayattri,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,1,,,,,0,,,,,,,,,,,,,,clintondmello,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,1,,,,,0,,,,,,,,,,,,,,AvivAbachi,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,,,,1,,,,,0,,,,,,,,,,,,,,nmilkov,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,,,
,,,,,5,,,,,0,,,,,,,,,,2,,,,jim-raney-physiq,,,,,,,1,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,,,,2,,,,,0,,,,,,,,,,2,,,,ruilfernandes,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,2,,,,,0,,,,,,,,,,,,,,KitaevAlexey,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,,,,11,,1,,,0,,,,,,,,,,2,1,,,rasheidAtlas,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,17,,,,,,,
,,,,1,12,,,,,0,,,,,,,,,2,5,,,,ashraful-karim,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,0,,,,,,,
,,,,1,2,,,,,0,,,,,,,,,,,,,,ssanjayan,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,1,,,,,0,,,,,,,,,,,,,,MangoJango31,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
,,,,,1,,,,,0,,,,,,,,,,,,,,akarmhus,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,
,,,,,3,,,,,0,,,,,,,,,,,,,,kvaranovich,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,0,,,,,,,
,,,,,1,,,,,0,,,,,,,,,,,,,,Argente,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,2,4,,,,,0,,,,,,,,,,,,,,tabithadon,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,10,,,,,7,,,5,,,,,,,,,,,ShinjiSakanami,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
,,,,,1,,,,,0,,,,,,,,,,,,,,lozenge,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,1,,,,,0,,,,,,,,,1,,,,,JackJWebster,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,,,,2,,,,,0,,,,,,,,,,,,,,luongngocdu,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,1,50,,,,,63,,,,,,,,,2,6,,,,Beor18,,,,,,,53,,,,,,,,3,6,,,,,,6,,,,,,,,,,,,,,,,,,,18,,6,,,,,12,,,,,,,
,,,,,5,,,,,1,,,,,,,,,,,,,,fofinho666,,,,,,,1,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,0,,,,,,,
,,,,1,1,,,,,1,,,,,,,,,,,,,,NoFutureCorporation,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,1,,,,,0,,,,,,,,,,,,,,IgorTeran,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,,,
,,,,,12,,,,,0,,,,,,,,,1,2,,,,joekaburia,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,,,,,0,,,,,,,
,,,,,1,,,,,0,,,,,,,,,,,,,,liyuhan6688,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
